tahun,nilai_cpi
2024,2.18151273615189
2023,3.66938654859761
2022,4.20946463714784
2021,1.56007882983334
2020,1.91983527270793
2019,3.03058460941661
2018,3.19834755924996
2017,3.80879857691949
2016,3.52580452815451
2015,6.36312061196646
2014,6.39492882396559
2013,6.41249457900391
2012,4.2795142691943
2011,5.35604849112582
2010,5.13420639015885
2009,4.38641311792074
2008,10.2266663272483
2007,6.40656087966005
2006,13.108670985346
2005,10.4532001873347
2004,6.06406189133648
2003,6.75731256333564
2002,11.9001200338414
2001,11.5001160550887
2000,3.68862037056682
1999,20.4778324428892
1998,58.4510413515526
1997,6.22615154887214
1996,7.97328096513346
1995,9.42030300572996
1994,8.53199829189143
1993,9.6719108926401
1992,7.52351006242677
1991,9.41906784347004
1990,7.81919756505635
1989,6.41554079916364
1988,8.04535671530907
1987,9.27865406602839
1986,5.82266576732484
1985,4.72453518543398
1984,10.4550392231412
1983,11.7997382076652
1982,9.44542534921144
1981,12.2659075874853
1980,18.035422125313
1979,16.2327695334308
1978,8.11259425677378
1977,11.0520846464477
1976,19.8286499927534
1975,19.1656916610533
1974,40.491811600695
1973,31.0418824339182
1972,6.52174091852604
1971,4.23374587741607
1970,12.399468513041
1969,15.4798773314404
1968,128.843042071197
1967,106.0
1966,1136.2541122077
1965,306.763110307415
1964,108.994708994709
1963,145.910780669145
1962,131.397849462365
1961,13.6919315403424
1960,39.5904436860067
