tahun,nilai_life_expectancy
2023,71.146
2022,70.925
2021,67.452
2020,68.817
2019,70.349
2018,70.08
2017,69.953
2016,69.733
2015,69.52
2014,69.292
2013,69.064
2012,68.862
2011,68.629
2010,68.364
2009,68.267
2008,68.085
2007,67.914
2006,67.664
2005,67.531
2004,65.521
2003,67.134
2002,66.954
2001,66.583
2000,66.292
1999,66.001
1998,65.942
1997,65.774
1996,65.465
1995,65.263
1994,65.041
1993,64.851
1992,64.182
1991,63.703
1990,63.249
1989,62.883
1988,62.386
1987,62.087
1986,61.736
1985,61.387
1984,60.891
1983,60.343
1982,59.7
1981,59.096
1980,58.701
1979,58.18
1978,57.607
1977,57.09
1976,56.445
1975,55.998
1974,55.443
1973,54.916
1972,54.364
1971,53.823
1970,53.254
1969,52.588
1968,51.888
1967,51.309
1966,48.406
1965,42.762
1964,49.44
1963,48.742
1962,48.141
1961,47.385
1960,46.835
