tahun,nilai
2024,283487931.0
2023,281190067.0
2022,278830529.0
2021,276758053.0
2020,274814866.0
2019,272489381.0
2018,269951846.0
2017,267346658.0
2016,264627418.0
2015,261799249.0
2014,258877399.0
2013,255852467.0
2012,252698525.0
2011,249470032.0
2010,246305322.0
2009,243220028.0
2008,240157903.0
2007,237062337.0
2006,233951652.0
2005,230871650.0
2004,227926649.0
2003,225048008.0
2002,222088495.0
2001,219097902.0
2000,216077790.0
1999,213004668.0
1998,209826788.0
1997,206536095.0
1996,203204348.0
1995,199888057.0
1994,196591828.0
1993,193305168.0
1992,190043744.0
1991,186778238.0
1990,183501098.0
1989,180201630.0
1988,176855065.0
1987,173511154.0
1986,170175065.0
1985,166776185.0
1984,163251124.0
1983,159651381.0
1982,156052152.0
1981,152485035.0
1980,148950540.0
1979,145434834.0
1978,141953163.0
1977,138533541.0
1976,135173655.0
1975,131843848.0
1974,128555045.0
1973,125288515.0
1972,122039841.0
1971,118833702.0
1970,115657495.0
1969,112517639.0
1968,109450006.0
1967,106526393.0
1966,103792754.0
1965,101365130.0
1964,98833749.0
1963,96051424.0
1962,93375850.0
1961,90791249.0
1960,88296070.0
