tahun,nilai_cpi,nilai_gdp,nilai_harga_pangan,nilai_life_expectancy,nilai_population,nilai_unemployment
2025,,,41629.880402626455,,,3.237
2024,2.18151273615189,1396300098190.97,40523.4058141428,,283487931.0,3.301
2023,3.66938654859761,1371169301563.62,38334.807832439605,71.146,281190067.0,3.308
2022,4.20946463714784,1319101183380.15,,70.925,278830529.0,3.462
2021,1.56007882983334,1186509691086.73,,67.452,276758053.0,3.827
2020,1.91983527270793,1059054842698.48,,68.817,274814866.0,4.255
2019,3.03058460941661,1119099871350.2,,70.349,272489381.0,3.59
2018,3.19834755924996,1042271532988.63,,70.08,269951846.0,4.387
2017,3.80879857691949,1015618744159.73,,69.953,267346658.0,3.783
2016,3.52580452815451,931877364037.698,,69.733,264627418.0,4.301
2015,6.36312061196646,860854232686.214,,69.52,261799249.0,4.514
2014,6.39492882396559,890814755533.537,,69.292,258877399.0,4.049
2013,6.41249457900391,912524136718.018,,69.064,255852467.0,4.336
2012,4.2795142691943,917869913332.649,,68.862,252698525.0,4.468
2011,5.35604849112582,892969104563.171,,68.629,249470032.0,5.153
2010,5.13420639015885,755094157621.936,,68.364,246305322.0,5.614
2009,4.38641311792074,539580085612.401,,68.267,243220028.0,6.106
2008,10.2266663272483,510228634992.258,,68.085,240157903.0,7.208
2007,6.40656087966005,432216737774.861,,67.914,237062337.0,8.06
2006,13.108670985346,364570515618.357,,67.664,233951652.0,7.551
2005,10.4532001873347,285868619196.085,,67.531,230871650.0,7.945
2004,6.06406189133648,256836875295.452,,65.521,227926649.0,7.303
2003,6.75731256333564,234772463823.808,,67.134,225048008.0,6.657
2002,11.9001200338414,195660611165.183,,66.954,222088495.0,6.604
2001,11.5001160550887,160446947784.909,,66.583,219097902.0,6.082
2000,3.68862037056682,165021012077.81,,66.292,216077790.0,6.077
1999,20.4778324428892,140001351215.462,,66.001,213004668.0,6.358
1998,58.4510413515526,95445547872.715,,65.942,209826788.0,5.459
1997,6.22615154887214,215748998609.635,,65.774,206536095.0,4.684
1996,7.97328096513346,227369679374.973,,65.465,203204348.0,4.861
1995,9.42030300572996,202132028723.115,,65.263,199888057.0,4.611
1994,8.53199829189143,176892143931.505,,65.041,196591828.0,4.366
1993,9.6719108926401,158006700301.533,,64.851,193305168.0,2.782
1992,7.52351006242677,128026966579.964,,64.182,190043744.0,2.734
1991,9.41906784347004,116621996217.133,,63.703,186778238.0,2.617
1990,7.81919756505635,106140727333.636,,63.249,183501098.0,
1989,6.41554079916364,94451427876.6628,,62.883,180201630.0,
1988,8.04535671530907,84300174485.7973,,62.386,176855065.0,
1987,9.27865406602839,75929617557.7521,,62.087,173511154.0,
1986,5.82266576732484,79954072544.5279,,61.736,170175065.0,
1985,4.72453518543398,85289488375.4435,,61.387,166776185.0,
1984,10.4550392231412,84853700027.651,,60.891,163251124.0,
1983,11.7997382076652,81052283383.7155,,60.343,159651381.0,
1982,9.44542534921144,90158449294.9921,,59.7,156052152.0,
1981,12.2659075874853,85518233419.0479,,59.096,152485035.0,
1980,18.035422125313,72482337397.4439,,58.701,148950540.0,
1979,16.2327695334308,51400186342.8889,,58.18,145434834.0,
1978,8.11259425677378,51455719075.8254,,57.607,141953163.0,
1977,11.0520846464477,45808915662.6506,,57.09,138533541.0,
1976,19.8286499927534,37269156626.506,,56.445,135173655.0,
1975,19.1656916610533,30463855421.6867,,55.998,131843848.0,
1974,40.491811600695,25802409638.5542,,55.443,128555045.0,
1973,31.0418824339182,16273253012.0482,,54.916,125288515.0,
1972,6.52174091852604,10997590361.4458,,54.364,122039841.0,
1971,4.23374587741607,9333536369.94567,,53.823,118833702.0,
1970,12.399468513041,9150684931.50685,,53.254,115657495.0,
1969,15.4798773314404,8337423312.88344,,52.588,112517639.0,
1968,128.843042071197,7076465299.81141,,51.888,109450006.0,
1967,106.0,5667756627.92093,,51.309,106526393.0,
1966,1136.2541122077,,,48.406,103792754.0,
1965,306.763110307415,,,42.762,101365130.0,
1964,108.994708994709,,,49.44,98833749.0,
1963,145.910780669145,,,48.742,96051424.0,
1962,131.397849462365,,,48.141,93375850.0,
1961,13.6919315403424,,,47.385,90791249.0,
1960,39.5904436860067,,,46.835,88296070.0,
